id_jugador,id_club
37838,31
37838,1041
37920,273
37934,449
37934,931
37934,2407
38003,58
38003,985
38145,873
38253,16
38253,27
38253,131
38497,36
38497,383
38536,273
38536,543
38536,826
38593,449
38593,6195
38607,1025
39015,24
39020,506
39083,60
39083,703
39090,46
39090,189
39090,720
39125,124
39125,449
39152,13
39152,141
39152,162
39152,209
39152,367
39152,631
39152,720
39152,985
39153,5
39153,209
39153,418
39153,506
39153,631
39153,6195
39153,69261
39333,36
39333,46
39333,141
39378,623
39378,1050
39378,11141
39381,148
39381,418
39381,51828
39471,405
39655,2407
39679,29
39679,985
39705,379
39717,27
39728,12
39728,16
39728,27
39827,873
39918,826
39983,5
39983,36
39983,46
39983,506
40014,244
40014,683
40074,24
40074,23826
40204,148
40204,281
40204,371
40204,379
40204,416
40205,379
40205,631
40205,762
40372,46
40372,237
40372,418
40372,430
40372,1050
40423,131
40423,150
40423,281
40423,681
40433,11
40433,46
40433,131
40433,209
40433,244
40433,368
40433,410
40433,985
40478,18
40478,36
40611,405
40611,631
40611,703
40611,989
40613,989
40633,398
40633,430
40660,5
40660,398
40660,430
40660,506
40680,27
40687,36
40687,244
40687,683
40687,1041
40979,12
40979,141
40979,416
40995,16
41384,46
41384,379
41384,1025
41414,31
41414,210
41414,398
41749,398
41749,430
41935,5
41982,12
41982,46
42205,18
42205,27
42205,46
42412,985
42460,16
42460,27
42460,46
42460,82
42460,148
42460,383
42460,2282
42710,13
42710,148
42710,610
42748,2282
42783,18
42936,27
42936,60
43003,11
43003,331
43003,681
43250,58
43250,148
43250,294
43250,610
43261,762
43261,985
43512,15
43512,16
43512,60
43530,31
43530,989
43530,1237
43722,36
43722,244
43722,410
43722,506
43722,614
43763,383
43907,244
44017,27
44017,621
44058,11
44058,12
44058,131
44058,506
44058,1148
44062,13
44062,150
44062,336
44062,418
44068,141
44068,631
44068,985
44068,1049
44136,506
44136,11141
44162,12
44162,131
44162,506
44162,1041
44327,46
44352,13
44352,31
44352,131
44352,210
44352,610
44352,69261
44367,410
44501,418
44501,683
44501,2462
44521,16
44675,5
44675,12
44675,131
44675,610
44675,1108
44716,506
44779,13
44779,210
44779,367
44779,543
44779,631
44779,940
44779,1075
44948,410
44983,29
44983,762
44983,989
45026,12
45026,336
45026,543
45026,800
45121,244
45121,417
45121,631
45121,762
45121,826
45121,873
45121,1041
45121,1082
45121,3709
45146,5
45146,31
45146,46
45146,244
45146,281
45146,417
45184,368
45184,583
45184,995
45214,141
45272,371
45272,583
45287,5
45287,148
45287,294
45287,826
45287,931
45307,189
45307,368
45319,209
45319,368
45320,294
45320,418
45320,506
45320,583
45320,985
45327,4035
45327,7633
45330,703
45333,29
45333,371
45333,873
45383,13
45383,331
45383,720
45383,1050
45383,1108
45383,2497
45395,399
45403,36
45403,244
45403,379
45403,703
45431,199
45431,1023
45455,543
45567,46
45577,46
45577,336
45581,46
45581,416
45639,265
45639,371
45639,714
45639,1050
45639,1108
45639,1531
45646,209
45646,4035
45653,5
45653,209
45653,398
45653,1050
45660,27
45660,583
45660,623
45662,82
45671,24
45671,29
45671,36
45671,873
45672,24
45672,583
45673,720
45717,276
45832,58
45832,60
45865,294
45865,449
45865,683
45882,150
45882,237
45882,931
46001,148
46001,762
46001,995
46083,15
46104,46
46104,162
46104,281
46104,368
46104,430
46104,683
46106,543
46110,294
46110,683
46110,1108
46154,873
46154,931
46156,12
46156,46
46156,281
46156,398
46180,985
46220,367
46220,399
46220,1049
46220,3709
46405,405
46413,237
46413,331
46552,162
46552,416
46741,11
46741,294
46741,583
46741,614
46741,631
46791,543
46791,873
46972,368
46972,371
47082,31
47082,281
47082,449
47082,631
47184,410
47184,714
47592,82
47592,199
47592,383
47713,31
47713,583
47713,873
48002,379
48002,416
48002,506
48015,15
48015,24
48015,162
48066,31
48066,379
48066,762
48078,399
48078,543
48078,989
48078,1237
48164,24
48164,82
48280,189
48280,583
48280,985
48280,1049
48280,6195
48298,18
48870,29
48870,1148
49275,506
49275,1025
49499,12
49499,31
49499,234
49499,383
49499,583
49499,762
49500,714
49501,18
49542,399
49542,703
49542,1061
49693,405
49693,543
49719,162
49723,24
49730,24
49730,82
50057,11
50057,124
50057,417
50057,506
50057,703
50057,7633
50144,199
50144,210
50144,383
50145,13
50145,221
50145,237
50145,614
50174,148
50174,399
50174,762
50201,31
50201,405
50201,873
50202,418
50202,631
50202,1082
50219,31
50219,2282
50303,383
50355,234
50355,940
50362,29
50362,281
50362,399
50362,405
50512,16
50512,417
50570,583
50570,6195
50669,209
50935,15
50935,368
50935,379
50935,418
50935,985
50935,1061
51046,12
51046,383
51046,681
51046,714
51046,2407
51046,7633
51058,367
51058,703
51058,720
51079,379
51079,2407
51079,3711
51079,7633
51100,82
51152,58
51152,762
51152,931
51174,141
51174,281
51174,368
51174,720
51356,18
51356,2462
51452,31
51471,46
51471,281
51471,418
51471,631
51510,237
51510,1531
51510,3368
51510,3709
51540,762
51587,418
51587,3368
51587,3709
51894,36
52059,36
52059,58
52059,383
52059,1061
52059,1148
52111,31
52119,141
52119,383
52119,631
52119,762
52119,873
52261,36
52281,449
52312,506
52312,11141
52403,683
52406,210
52406,614
52428,367
52428,940
52570,148
52570,371
52570,762
52618,4035
52769,11
52769,199
52769,631
52769,683
52769,931
52787,199
52880,199
52880,614
52880,1075
52896,199
52896,614
52897,46
52897,398
52897,506
52903,189
52903,209
52903,3711
52911,221
52920,221
52920,383
52920,1041
52960,1023
52999,940
53015,614
53015,1023
53058,15
53058,199
53058,614
53058,2462
53077,131
53077,368
53077,683
53077,1531
53226,210
53226,221
53226,265
53226,614
53226,1023
53226,2462
53286,265
53286,2462
53337,189
53337,3631
53418,15
53418,16
53418,23826
53477,1023
53477,1025
53477,2407
53477,3711
53536,36
53536,410
53622,16
53622,131
53622,281
53696,383
53847,210
53847,336
53847,1023
53922,221
53922,294
53922,1023
53996,209
54137,82
54155,141
54155,368
54155,2462
54170,294
54170,631
54170,1023
54235,621
54375,36
54375,199
54375,210
54375,221
54383,124
54534,189
54534,210
54534,720
54534,940
54534,3631
54581,410
54590,2462
54590,4035
54659,27
54716,294
54781,281
54781,294
54781,720
54781,1049
54906,5
54906,46
54906,416
54906,985
54928,13
54928,46
54928,1050
54935,131
54935,276
54935,368
54935,398
54935,430
54935,506
54935,1061
54935,3368
54984,12
54984,36
54984,189
54984,368
54996,237
55089,60
55099,60
55156,3711
55167,189
55215,12
55215,583
55215,1531
55291,124
55338,199
55338,221
55338,1023
55338,2462
55409,265
55409,583
55409,1082
55508,148
55508,931
